execution_id,workflow_name,status,created_at,started_at,ended_at,duration_seconds,username,cpu_usage_percent,memory_usage_mb,steps_total,steps_completed,api_calls_made,input_data_size_kb,queue_depth_at_start,queue_wait_time_seconds,retry_count,error_type,complexity,hour_of_day,day_of_week,concurrent_executions,event_volume_hourly,is_automated
e72e25c4-0f2a-4f4a-916c-d672f9589c9c,Validation_Pipeline,completed,2024-10-31T10:18:29.000Z,2024-10-31T10:18:39.000Z,2024-10-31T10:19:19.000Z,40,admin.ops,32,257,7,7,16,19,3,10,0,,medium,6,Thursday,8,1,FALSE
689317c4-687d-4e02-87c2-21d78ce97d84,Analytics_Aggregation,completed,2024-10-31T11:27:22.000Z,2024-10-31T11:27:22.000Z,2024-10-31T11:30:09.000Z,167,system.automated,87,1130,12,12,25,391,0,0,0,,high,7,Thursday,6,1,TRUE
a4e49302-9577-49d3-8b5b-926c3bcc1f6e,Database_Migration,completed,2024-10-31T12:12:48.000Z,2024-10-31T12:12:48.000Z,2024-10-31T12:15:32.000Z,164,system.automated,79,726,12,12,27,182,0,0,0,,high,8,Thursday,7,7,TRUE
9492c871-3ebe-4e02-9643-5b54fb75b84c,Event_Trigger_Handler,completed,2024-10-31T12:27:55.000Z,2024-10-31T12:27:55.000Z,2024-10-31T12:28:23.000Z,28,system.automated,22,120,4,4,6,29,0,0,0,,low,8,Thursday,7,7,TRUE
352de946-bf30-43df-8ad5-1219517bc3ca,Data_Enrichment_Flow,completed,2024-10-31T12:43:24.000Z,2024-10-31T12:43:24.000Z,2024-10-31T12:45:39.000Z,135,system.automated,60,619,12,12,13,92,0,0,0,,high,8,Thursday,7,7,TRUE
f04ee387-c245-44a4-8119-f19bccb976d2,Event_Trigger_Handler,completed,2024-10-31T12:45:04.000Z,2024-10-31T12:45:04.000Z,2024-10-31T12:45:23.000Z,19,admin.ops,19,112,4,4,6,19,0,0,1,,low,8,Thursday,7,7,FALSE
1382ab16-53dd-407a-a914-bb94c39d9142,Database_Migration,completed,2024-10-31T12:47:32.000Z,2024-10-31T12:47:32.000Z,2024-10-31T12:50:08.000Z,156,system.automated,72,739,12,12,19,416,0,0,0,,high,8,Thursday,7,7,TRUE
ed4b64fa-b1df-4887-b1a0-ded5aaf5e15e,Notification_Handler,completed,2024-10-31T12:48:04.000Z,2024-10-31T12:48:14.000Z,2024-10-31T12:48:31.000Z,17,system.automated,15,113,4,4,5,1001,0,30,0,,low,8,Thursday,7,7,TRUE
6739954b-8e34-4d7f-8005-2dc5d307192b,Database_Migration,completed,2024-10-31T12:49:28.000Z,2024-10-31T12:49:28.000Z,2024-10-31T12:52:26.000Z,178,system.automated,74,689,12,12,28,2046,0,0,0,,high,8,Thursday,7,7,TRUE
eb63197e-518f-4650-accf-4c046810d416,Scheduled_Task_A,completed,2024-10-31T12:50:19.000Z,2024-10-31T12:50:19.000Z,2024-10-31T12:50:53.000Z,34,system.automated,30,287,7,7,16,661,0,0,0,,medium,8,Thursday,7,7,TRUE
0082a231-2ccd-422a-9902-86a62a9a986e,Notification_Handler,completed,2024-10-31T13:09:20.000Z,2024-10-31T13:09:20.000Z,2024-10-31T13:09:37.000Z,17,system.automated,19,143,4,4,12,93,0,0,0,,low,9,Thursday,8,7,TRUE
1873aefd-9b7d-4d02-9dd0-67f14e5d688c,Notification_Handler,completed,2024-10-31T13:21:04.000Z,2024-10-31T13:21:04.000Z,2024-10-31T13:21:23.000Z,19,alex.rodriguez,17,138,4,4,8,537,0,0,0,,low,9,Thursday,8,7,FALSE
560675ed-54d7-4ee2-88cb-0dada96bd27e,Validation_Pipeline,completed,2024-10-31T13:22:53.000Z,2024-10-31T13:22:53.000Z,2024-10-31T13:23:41.000Z,48,system.automated,28,237,7,7,8,42,0,0,0,,medium,9,Thursday,8,7,TRUE
555ce2ef-f2f2-4e32-a45b-8394191744bf,Data_Sync_Workflow,completed,2024-10-31T13:32:50.000Z,2024-10-31T13:32:50.000Z,2024-10-31T13:33:45.000Z,55,system.automated,33,241,7,7,7,21,0,0,0,,medium,9,Thursday,8,7,TRUE
1d482d54-6d94-489e-8ac0-23b8b3390a66,Analytics_Aggregation,completed,2024-10-31T13:33:56.000Z,2024-10-31T13:33:56.000Z,2024-10-31T13:37:23.000Z,207,system.automated,80,989,12,12,35,306,0,0,0,,high,9,Thursday,8,7,TRUE
0152f80e-fe62-45e6-ac35-7fb515ef7709,ML_Model_Inference,completed,2024-10-31T13:58:11.000Z,2024-10-31T13:58:11.000Z,2024-10-31T13:59:20.000Z,69,system.automated,69,425,12,12,16,20,0,0,0,,high,9,Thursday,8,7,TRUE
6f8c7226-6f3a-4955-b3ef-3c9c4b4eb211,Batch_Processing_Job,completed,2024-10-31T13:59:45.000Z,2024-10-31T13:59:45.000Z,2024-10-31T14:02:27.000Z,162,system.automated,73,453,12,12,16,68,0,0,0,,high,9,Thursday,8,7,TRUE
9e217651-e951-4686-9131-7fd01c40481d,Document_Generator,completed,2024-10-31T14:00:57.000Z,2024-10-31T14:00:57.000Z,2024-10-31T14:01:29.000Z,32,david.kim,23,219,4,4,10,80,0,0,0,,low,10,Thursday,8,5,FALSE
